Exported,Product,Site Name,Tank Dip,Transaction Date/Time,Vehicle Number,Vehicle Registration,Vehicle Brand,Vehicle Model,Volume
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 08:59:00,DT26849,,,,3.46000
False,Diesel,Europcar Gl. Kongevej,,2025-01-09 09:14:00,DJ57367,,,,6.47000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 10:55:00,DT26821,,,,1.49000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 14:57:00,DA48764,,,,19.74000
False,Diesel,Europcar Gl. Kongevej,,2025-01-09 15:31:00,DJ87861,,,,3.55000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 16:30:00,EC87719,,,,10.22000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-09 17:02:00,EF91711,,,,42.09000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 06:10:00,DM10987,,,,18.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 07:33:00,DT91979,,,,44.04000
False,Diesel,Europcar Gl. Kongevej,,2025-01-10 07:34:00,EB59112,,,,18.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 09:55:00,EB70225,,,,9.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 11:08:00,DF45709,,,,26.03000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 11:58:00,DJ43505,,,,10.24000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 15:38:00,EC12711,,,,3.24000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 16:09:00,DM86981,,,,16.61000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-10 16:41:00,DT32168,,,,43.01000
False,Diesel,Europcar Gl. Kongevej,,2025-01-10 16:57:00,DN88454,,,,3.51000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-11 06:13:00,ET20837,,,,7.22000
False,Diesel,Europcar Gl. Kongevej,,2025-01-11 06:24:00,DJ87861,,,,5.79000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-11 06:45:00,EEC57518,,,,26.04000
False,Diesel,Europcar Gl. Kongevej,,2025-01-11 07:03:00,DD54294,,,,43.21000
False,Diesel,Europcar Gl. Kongevej,,2025-01-11 08:07:00,DS53868,,,,15.61000
False,Diesel,Europcar Gl. Kongevej,,2025-01-11 09:32:00,BZ14804,,,,14.35000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-11 09:54:00,DH55439,,,,14.50000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-12 06:23:00,DJ39264,,,,24.30000
False,Diesel,Europcar Gl. Kongevej,,2025-01-12 06:35:00,DL52954,,,,2.32000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-12 12:08:00,DM87014,,,,28.12000
False,Diesel,Europcar Gl. Kongevej,,2025-01-13 05:08:00,ED23410,,,,18.81000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-01-13 05:18:00,DM86995,,,,6.24000
