Transaction Date/Time,Vehicle Number,Odometer,Product,Volume,Customer Price,Total Price
2025-12-19 09:46:00,EL42953,13.0,Benzin - Blyfri,40.02000,25.00000,1000.5
2025-12-19 09:43:00,EL42952,12.0,Benzin - Blyfri,42.10000,25.00000,1052.5
2025-12-19 09:28:00,DD90180,50181.0,Diesel,3.06000,25.00000,76.5
2025-12-19 07:19:00,DJ39193,78001.0,Benzin - Blyfri,9.51000,25.00000,237.75
2025-12-19 06:18:00,ED23410,26932.0,Diesel,13.02000,25.00000,325.5
2025-12-18 17:05:00,EJ43120,19827.0,Benzin - Blyfri,34.83000,25.00000,870.75
2025-12-18 15:54:00,DN88461,76437.0,Diesel,39.48000,25.00000,987.0
2025-12-18 15:39:00,DR78336,58949.0,Benzin - Blyfri,7.63000,25.00000,190.75
2025-12-18 15:30:00,DF68233,73582.0,Diesel,5.80000,25.00000,145.0
2025-12-18 12:30:00,DM10980,86419.0,Benzin - Blyfri,12.61000,25.00000,315.25
2025-12-18 11:21:00,EL42954,16.0,Benzin - Blyfri,42.21000,25.00000,1055.25
2025-12-18 11:16:00,EL42967,16.0,Benzin - Blyfri,42.14000,25.00000,1053.5
2025-12-18 10:52:00,EL42966,14.0,Benzin - Blyfri,40.01000,25.00000,1000.25
2025-12-18 10:48:00,EL42965,20.0,Benzin - Blyfri,43.01000,25.00000,1075.25
2025-12-18 10:22:00,EL42962,16.0,Benzin - Blyfri,40.84000,25.00000,1021.0
2025-12-18 10:01:00,EL42961,13.0,Benzin - Blyfri,44.03000,25.00000,1100.75
2025-12-18 09:55:00,DP54808,35803.0,Diesel,2.51000,25.00000,62.75
2025-12-18 09:49:00,EL42960,13.0,Benzin - Blyfri,41.68000,25.00000,1042.0
2025-12-18 09:46:00,EL42963,13.0,Benzin - Blyfri,40.20000,25.00000,1005.0
2025-12-18 08:36:00,EJ24745,20568.0,Diesel,2.41000,25.00000,60.25
2025-12-18 08:15:00,DT59525,48537.0,Diesel,3.12000,25.00000,78.0
2025-12-18 08:11:00,DN88447,48021.0,Diesel,5.50000,25.00000,137.5
2025-12-18 07:17:00,DV29921,34649.0,Benzin - Blyfri,23.01000,25.00000,575.25
2025-12-18 07:11:00,DV29956,59633.0,Benzin - Blyfri,16.50000,25.00000,412.5
2025-12-18 07:03:00,EH92473,13103.0,Benzin - Blyfri,11.51000,25.00000,287.75
2025-12-18 06:33:00,DV31495,60335.0,Benzin - Blyfri,15.01000,25.00000,375.25
2025-12-18 06:26:00,DF68233,73538.0,Diesel,30.01000,25.00000,750.25
2025-12-18 06:17:00,DZ17159,22591.0,Benzin - Blyfri,13.61000,25.00000,340.25
2025-12-17 15:10:00,EF20845,20682.0,Benzin - Blyfri,44.43000,25.00000,1110.75
2025-12-17 13:10:00,DJ43505,113645.0,Benzin - Blyfri,17.11000,25.00000,427.75
2025-12-17 10:22:00,EB89502,34276.0,Benzin - Blyfri,3.09000,25.00000,77.25
2025-12-17 09:56:00,DT39107,47311.0,Benzin - Blyfri,5.01000,25.00000,125.25
2025-12-17 08:21:00,EJ24783,15073.0,Benzin - Blyfri,26.15000,25.00000,653.75
2025-12-16 15:44:00,EB10880,42529.0,Benzin - Blyfri,18.24000,25.00000,456.0
2025-12-16 14:51:00,DM86985,45543.0,Benzin - Blyfri,30.45000,25.00000,761.25
2025-12-16 14:49:00,DM86985,45543.0,Benzin - Blyfri,0.00000,25.00000,0.0
2025-12-16 14:13:00,EH80221,14240.0,Benzin - Blyfri,5.84000,25.00000,146.0
2025-12-16 12:08:00,EL31497,39.0,Benzin - Blyfri,4.89000,25.00000,122.25
2025-12-16 10:36:00,EK88533,18379.0,Benzin - Blyfri,46.51000,25.00000,1162.75
2025-12-16 08:48:00,EB65459,36164.0,Diesel,52.96000,25.00000,1324.0
2025-12-16 08:21:00,DL54020,62659.0,Diesel,2.94000,25.00000,73.5
2025-12-16 05:52:00,EK36081,13850.0,Benzin - Blyfri,20.03000,25.00000,500.75
2025-12-15 14:05:00,DV52965,60213.0,Diesel,17.54000,25.00000,438.5
